task,category,start,end,completion
GPS Data Cleaning,Part A,1/4/2025,18/4/2025,0
Cobra Data Cleaning,Part B,1/4/2025,25/4/2025,0
Supplementary Review on Part A,Part A,1/4/2025,25/4/2025,0
Supplementary Review on Part B,Part B,1/4/2025,2/5/2025,0
GPS Data Analysis,Part A,21/4/2025,11/6/2025,0
Cobra Data Analysis,Part B,28/4/2025,18/6/2025,0
GPS Data Visualisation,Part A,28/4/2025,18/6/2025,0
Cobra Data Visualisation,Part B,28/4/2025,20/6/2025,0
Mid-term Review,Project,25/6/2025,27/6/2025,0
Supplementary Analysis on GPS Data,Part A,30/6/2025,11/7/2025,0
Supplementary Analysis on Cobra Data,Part B,30/6/2025,8/8/2025,0
Report (Part A) Draft,Part A,14/7/2025,8/8/2025,0
Report (Part B) Draft,Part B,11/8/2025,13/9/2025,0
Combined Report Draft,Project,11/8/2025,13/9/2025,0
Manuscript Draft,Project,25/8/2025,20/9/2025,0
Project Files Wrap Up,Project,22/9/2025,27/9/2025,0
Finalise Journal Paper and Submission Process,Potential Project Extension,29/9/2025,19/12/2025,0
